ArtikelNr;Beschreibung;Beschreibung2;T24ID;POG;PUG;REF;HANDLING;FAKTOR;ORIGINAL;Prio
010091541;Continental 265/40 R 19  98 V   TL;TS 830 P N0 FR -DOT 14-;408893;154;132,44;4;1;0,92;;1
010091580;Continental 225/40 R 18  88 Y   TL;SportContact 5 SSR * FR -DOT 12- -DEMO-;403026;68,6;58,996;4;1;0,7;;1
018003410;Dunlop 110/80 - 16  55 V   TL;K 205 FRONT # 651085;9653;105,1;94,886;1;0;;-1;1
018009950;Dunlop 120/90 - 17  64 S   TT;Trailmax REAR # 651048;9792;75,8;69,688;1;0;;-1;1
018011730;Dunlop 100/90 - 18  56 P   TL;D 602 FRONT # 650798;9601;86,4;78,804;1;0;;-1;1
018026090;Dunlop 205/70 R 15  95 S   TL;Grandtrek ST 1 # 556661;29488;72,2;62,092;4;0;;-1;1
018030660;Dunlop 315/80 R 22.5 156/150 K  TL;SP 382 M+S # 560670;34914;437,8;366,16;2;0;;-1;1
018031780;Dunlop 235/75 R 17.5 132/130 M  TL;SP 344 # 561500;37690;234,3;195,96;2;0;;-1;1
018031810;Dunlop 205/75 R 17.5 124/122 M  TL;SP 444 M+S # 561511;37673;188,65;157,78;2;0;;-1;1
018031850;Dunlop 245/70 R 17.5 136/134 M  TL;SP 444 M+S # 561514;37698;235,4;196,88;2;0;;-1;1
018035060;Dunlop 130/90 - 16  67 H   TL;D 404 X FRONT # 621423;42544;103;93,08;1;0;;-1;1
018041540;Dunlop 315/60 R 22.5 152/148 L  TL;SP 444 M+S # 565214;56275;438,9;367,08;2;0;;-1;1
018044600;Dunlop 190/55 R 17   TL;SPmax GP Racer Slick E REAR # 625986;59998;144,2;128,512;1;0;;-1;1
018047320;Dunlop 120/90 - 18  65 M   TT;Geomax MX-31 REAR # 629664;400266;65,5;60,83;1;0;;-1;1
