ArtikelNr;Beschreibung;Beschreibung2;T24ID;POG;PUG;REF;HANDLING;FAKTOR;ORIGINAL;Prio
008075830;Bridgestone 215/70 R 16 100 H   TL;Dueler H/T 687 # 06718;298071;86,3;74,218;4;0;;-1;2
008075850;Bridgestone 185/60 R 14  82 H   TL;ER 300 # 06717;285201;38,3;32,938;4;0;;-1;2
008075880;Bridgestone 175/65 R 14  82 T   TL;B 250 FIAT # 07420;294035;38,7;33,282;4;0;;-1;2
008075890;Bridgestone 195/65 R 15 XL  95 T   TL;T001 # 07421;284420;51,7;44,462;4;0;;-1;2
008075900;Bridgestone 205/55 R 16 XL  94 H   TL;ER 300 # 07422;293491;68,2;58,652;4;0;;-1;2
008075930;Bridgestone 195/55 R 16  87 V   TL;ER 300 A Ecopia RFT * # 07425;280306;88,7;76,282;4;0;;-1;2
008075950;Bridgestone 205/55 R 16  91 W   TL;ER 300 A Ecopia * # 07430;278972;54,4;46,784;4;0;;-1;2
008076000;Bridgestone 195/70 R 15 C 104 R   TL;W 810 # 07621;289025;65;55,9;4;0;;-1;2
008076200;Bridgestone 225/60 R 18 100 H   TL;Dueler H/L 33 # 07798;305698;116,9;100,534;4;0;;-1;2
008076330;Bridgestone 165/70 R 14  81 T   TL;B 250 # 07777;291868;36,4;31,304;4;0;;-1;2
008076360;Bridgestone 235/55 R 18 100 V   TL;Dueler H/L 33 # 07797;305719;116;99,76;4;0;;-1;2
008076530;Bridgestone 205/55 R 16 XL  94 H   TL;ER 300 CADDY # 07524;305476;64,6;55,556;4;0;;-1;2
008076600;Bridgestone 120/70 - 15  56 S   TL;SC FRONT # 07488;322868;37,3;33,568;1;0;;-1;2
008076620;Bridgestone 120/80 - 16  60 P   TL;SC REAR # 08028;327619;37;36,32;1;0;;-1;2
008076650;Bridgestone 120/70 ZR17  (58W)  TL;T 30 Evo FRONT # 07894;309598;88;80,18;1;0;;-1;2
008076660;Bridgestone 160/60 ZR17  (69W)  TL;T 30 Evo REAR # 07895;313611;109,6;98,756;1;0;;-1;2
008076680;Bridgestone 120/70 ZR17  (58W)  TL;RS 10 FRONT # 07897;303605;95,5;86,63;1;0;;-1;2
008076690;Bridgestone 190/55 ZR17  (75W)  TL;RS 10 REAR # 07898;303601;134;119,74;1;0;;-1;2
008076700;Bridgestone 200/55 ZR17  (78W)  TL;RS 10 REAR # 07899;303599;137,3;122,578;1;0;;-1;2
008076710;Bridgestone 120/70 ZR17  (58W)  TL;RS 10 G FRONT # 08039;307658;104,6;94,456;1;0;;-1;2
008076720;Bridgestone 190/55 ZR17  (75W)  TL;RS 10 G REAR # 08040;313126;145,2;129,372;1;0;;-1;2
008076730;Bridgestone 200/55 ZR17  (78W)  TL;RS 10 G REAR # 08041;314032;150;133,5;1;0;;-1;2
008076740;Bridgestone 120/70 ZR17  (58W)  TL;RS 10 J FRONT # 08042;310959;101;91,36;1;0;;-1;2
008076760;Bridgestone 110/80 R 19  59 V   TL;A 40 FRONT # 07905;313798;77,5;71,15;1;0;;-1;2
008076770;Bridgestone 150/70 R 17  69 V   TL;A 40 REAR # 07906;313799;93,1;84,566;1;0;;-1;2
008076780;Bridgestone 80 /100- 21  51 M   TT;X 20 Cross FRONT SO. # 07907;319536;39,1;38,126;1;0;;-1;2
008076790;Bridgestone 100/90 - 19  57 M   TT;X 20 Cross REAR SOFT # 07908;319241;51,4;48,704;1;0;;-1;2
008076800;Bridgestone 110/100- 18  64 M   TT;X 20 Cross REAR SOFT # 07909;319515;51,4;48,704;1;0;;-1;2
008076920;Bridgestone 155/65 R 14  75 T   TL;B 250 # 08019;295615;41,4;35,604;4;0;;-1;2
008076930;Bridgestone 175/65 R 14  82 T   TL;B 280 # 07700;294524;36,9;31,734;4;0;;-1;2
008076940;Bridgestone 185/65 R 14  86 T   TL;B 280 # 07701;300898;42,3;36,378;4;0;;-1;2
008077110;Bridgestone 185/65 R 14  86 H   TL;Ecopia EP 150 # 07760;299047;52,5;45,15;4;0;;-1;2
008077230;Bridgestone 245/40 R 20 XL  99 W   TL;S001 * # 07786;305837;194,6;167,356;4;0;;-1;2
008077280;Bridgestone 215/45 R 16  86 H   TL;ER 300 POLO # 06481;301064;88,8;76,368;4;0;;-1;2
008077480;Bridgestone 225/55 R 17 XL 101 W   TL;T001 # 07743;295617;107,3;92,278;4;0;;-1;2
008077550;Bridgestone 195/45 R 16  80 V   TL;T001 3PMSF M+S # 07750;303248;65;55,9;4;0;;-1;2
008077600;Bridgestone 225/55 R 16 XL  99 V   TL;T001 # 07755;295432;102,6;88,236;4;0;;-1;2
008077740;Bridgestone 245/50 R 18 100 W   TL;S001 MO # 06235;313174;138,4;119,024;4;0;;-1;2
008077750;Bridgestone 215/65 R 16  98 H   TL;Dueler H/P Sport # 07076;299008;68,8;59,168;4;0;;-1;2
008077760;Bridgestone 215/60 R 17  96 H   TL;Dueler H/P Sport # 07077;299010;90,6;77,916;4;0;;-1;2
008077790;Bridgestone 235/55 R 17 XL 103 W   TL;S001 GALAXY # 05999;314094;114,2;98,212;4;0;;-1;2
008077830;Bridgestone 235/50 R 17  96 Y   TL;T001 # 08254;300250;125,5;107,93;4;0;;-1;2
008077940;Bridgestone 225/50 R 17  94 W   TL;S001 * # 07790;325080;105,8;90,988;4;0;;-1;2
008077950;Bridgestone 205/40 R 17 XL  84 W   TL;RE 050 A FORD # 07824;310337;86,8;74,648;4;0;;-1;2
008077980;Bridgestone 80 /90 - 14  40 P   TL;SC FRONT # 08030;348642;33,2;30,042;1;0;;-1;2
008078000;Bridgestone 180/55 ZR17  (73W)  TL;RS 10 REAR # 08317;337673;126,5;113,29;1;0;;-1;2
008078110;Bridgestone 185/70 R 14  88 T   TL;LM 001 # 07654;320557;51,7;44,462;4;0;;-1;2
008078120;Bridgestone 165/65 R 14  79 T   TL;LM 001 # 07655;318524;43,3;37,238;4;0;;-1;2
008078180;Bridgestone 205/55 R 16  91 T   TL;LM 001 # 07052;318517;62,3;53,578;4;0;;-1;2
